Student ID,PCRF,GRST,CAUF,INFA,ABIR,SERU,TOSL,APMR,DTFH,QWLM,N/A,Total Regestration
0005f921-db87-47a3-af19-000332af236b,6,0,1,3,0,0,0,3,0,0,6,19
000f66b3-6ad7-4a6c-9f1f-0d34b005c5e6,0,0,7,0,0,0,0,1,0,0,0,8
001a2d9a-54ee-4ae9-91b4-d6fe03c98ce0,0,0,2,0,0,0,0,1,0,0,0,3
00235747-dd1a-4f59-be5b-4aeb66e037a1,0,0,1,0,0,0,0,0,0,0,0,1
00252da1-947b-4116-a096-852830ac0f89,0,0,1,1,0,0,0,1,0,0,7,10
002e4e76-d10d-47eb-a4db-3fa9f39e47dd,0,0,7,0,0,0,0,5,0,0,6,18
004ce712-8914-48a4-b85a-93f64c78da30,0,0,7,1,0,0,0,0,0,0,0,8
007aea88-223a-4e72-af55-ac2153a1d0e2,14,0,9,4,3,0,0,4,0,0,1,35
007d47e5-cd3e-4c26-8e8b-a6f080397256,1,0,8,1,0,0,0,3,0,0,9,22
00816a99-e9e9-4b31-a36c-6e45580391aa,2,0,0,1,0,0,0,0,0,0,0,3
008dd58a-7f04-4575-9363-e500c0e0ea60,8,0,0,1,0,0,0,1,0,0,15,25
008f3386-0d43-45a4-8372-b282e5a0101a,1,0,5,0,0,0,0,0,0,0,0,6
00934b8d-3f91-4d3a-9195-a8fa3996f302,3,0,2,0,0,0,0,0,0,0,7,12
0093b5be-0d5f-4870-94a4-a283850a8734,0,0,1,0,0,0,0,0,0,0,0,1
0094d45b-70a3-423a-8608-c45cd2b7be04,0,0,0,0,0,0,0,0,0,0,0,1
00a112e8-82a7-4297-9c77-861974eafb09,0,0,0,0,0,0,0,0,0,0,0,1
00b039d3-2741-4a4a-a87a-13379b763d6f,2,0,1,0,0,0,0,2,0,0,0,5
00b28282-f7dd-41b1-8921-d621d8d27451,2,0,0,1,0,0,0,1,0,0,0,4
00be586b-1066-4ec6-a43b-9ba9517a4139,0,0,8,0,0,0,0,5,0,0,1,14
00d2f0fc-30c0-47a6-86d5-38421bf5dac9,1,0,1,0,0,0,0,0,0,0,2,4
00e6cf3a-970a-4dc9-b61d-43e10b109779,3,0,0,0,0,0,0,0,0,0,0,3
00fb17b3-2006-4695-80be-7908b99eec14,0,0,0,0,0,0,0,0,0,0,7,7
00fbddd0-2924-4a26-b53e-33d924590df4,0,0,0,0,0,0,0,0,0,0,1,1
01059bb5-9b35-4321-9aa4-af7310a14255,12,1,26,9,2,0,0,5,0,0,0,55
012a3906-a1eb-4079-b4f2-c0844127ddda,2,1,3,0,0,0,0,4,0,0,11,21
01304534-8afe-425d-a732-366b4afb200b,0,1,0,0,0,0,0,0,0,0,0,1
